#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-25T18:20:19 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-25T18:20:19	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/MNRAS/476/875/tablea1&-out=GASS,SDSS,zSDSS,logM*,R50z,R50r,R90r,logSuBr,extr,rmag,(b/a)r,incl,NUV-r,SFR&-out.max=5000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74760875
#Name: J/MNRAS/476/875
#Title: xGASS catalog (Catinella+, 2018)
#INFO	ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/476/875	    IVOID of underlying data collection
#INFO	creator=Catinella B.	    First author or institution
#INFO	cites=bibcode:2018MNRAS.476..875C	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2018	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/476/875	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74760875	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-18	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_476_875_tablea1:
#Name: J/MNRAS/476/875/tablea1
#Title: SDSS and UV parameters of GASS-low galaxies
#Column	GASS	(I6)	GASS identifier	[ucd=meta.id;meta.main]
#Column	SDSS	(A19)	SDSS identifier	[ucd=meta.id]
#Column	zSDSS	(F7.4)	SDSS redshift	[ucd=src.redshift;pos.heliocentric]
#Column	logM*	(F5.2)	log10 Stellar mass	[ucd=phys.mass]
#Column	R50z	(F5.2)	Radius containing 50 per cent of the Petrosian flux in z band	[ucd=phys.angSize;src]
#Column	R50r	(F5.2)	Radius containing 50 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	R90r	(F5.2)	Radius containing 90 per cent of the Petrosian flux in r band	[ucd=phys.angSize;src]
#Column	logSuBr	(F5.2)	log10 stellar mass surface density	[ucd=phys.density]
#Column	extr	(F5.2)	Galactic extinction in r band from SDSS	[ucd=phys.absorption]
#Column	rmag	(F5.2)	r-band model magnitude from SDSS, corrected for Galactic extinction	[ucd=phot.mag;em.opt.R]
#Column	(b/a)r	(F6.3)	Minor-to-major axial ratio from the exponential fit in r band, from SDSS	[ucd=phys.angSize;arith.ratio]
#Column	incl	(I2)	Inclination to the line of sight	[ucd=src.orbital.inclination;spect.line]
#Column	NUV-r	(F5.2)	? NUV-r observed colour, corrected for Galactic extinction	[ucd=phot.color;em.UV;em.opt]
#Column	SFR	(F6.3)	? Star formation rate from NUV and WISE photometry	[ucd=phys.SFR]
GASS	SDSS	zSDSS	logM*	R50z	R50r	R90r	logSuBr	extr	rmag	(b/a)r	incl	NUV-r	SFR
113128	J130018.77+275613.3	 0.0176	 9.69	 4.13	 4.60	11.15	 8.55	 0.03	15.30	 0.614	54	 5.50	 0.010
113047	J130019.10+273313.4	 0.0196	10.20	 3.49	 3.61	10.20	 9.11	 0.02	14.70	 0.781	40	 6.09	 0.010
113100	J130035.67+273427.2	 0.0170	 9.89	 5.26	 6.01	14.23	 8.58	 0.03	15.04	 0.233	83	 4.27	 0.386
113051	J130109.23+274905.9	 0.0197	10.05	 3.57	 4.04	13.56	 8.94	 0.02	14.90	 0.726	45	 5.26	 0.040
113004	J130113.62+275451.3	 0.0195	 9.73	 2.90	 3.23	11.26	 8.81	 0.03	15.58	 0.920	24	 5.23	 0.016
113078	J130234.79+275656.8	 0.0193	10.01	 5.75	 6.18	15.25	 8.51	 0.02	14.77	 0.488	63	 5.90	
113025	J130235.17+272621.9	 0.0181	 9.41	 4.87	 5.55	15.17	 8.11	 0.03	15.48	 0.546	59	 4.34	 0.349
113052	J130407.96+275753.8	 0.0198	 9.93	 5.71	 5.06	14.56	 8.41	 0.03	15.02	 0.757	42	 5.47	 0.011
113001	J130411.24+272925.6	 0.0178	 9.93	 4.89	 5.27	13.42	 8.63	 0.03	14.96	 0.818	36	 4.57	 0.636
113098	J131335.27+290735.5	 0.0200	 9.86	 3.84	 3.97	 9.91	 8.68	 0.03	15.98	 0.264	80	 4.03	 0.217
113110	J131954.35+311405.8	 0.0185	 9.50	 5.64	 6.53	15.33	 8.05	 0.03	15.73	 0.209	86	 3.20	 0.095
113056	J132006.91+143235.7	 0.0121	 9.60	 3.52	 3.50	10.12	 8.92	 0.08	14.55	 0.680	49	 5.05	 0.012
113115	J132051.77+312159.5	 0.0168	 9.70	 6.24	 6.58	15.67	 8.24	 0.03	14.96	 0.219	85	 2.82	 0.371
113124	J132251.07+314933.3	 0.0178	 9.41	 6.52	 8.10	16.83	 7.86	 0.05	14.94	 0.414	68	 1.89	 0.555
113024	J132341.57+313846.7	 0.0166	 9.84	 7.82	 9.56	20.52	 8.20	 0.04	14.55	 0.775	40	 3.37	 0.231
113038	J132421.17+355449.5	 0.0185	10.13	 6.85	 7.61	17.48	 8.51	 0.04	14.03	 0.435	67	 2.83	 1.188
113118	J133829.71+305912.7	 0.0160	 9.12	 3.89	 4.61	10.33	 8.12	 0.05	15.37	 0.857	32	 2.10	 0.239
113005	J134629.61+035241.9	 0.0178	 9.18	 4.01	 3.87	11.35	 8.06	 0.06	15.53	 0.260	80	 2.98	 0.328
113091	J135049.15+171655.5	 0.0175	 9.16	 5.78	 6.19	15.59	 7.74	 0.07	15.55	 0.267	80	 1.98	 0.204
113133	J135138.25+053334.8	 0.0188	 9.32	 4.99	 4.95	12.20	 7.96	 0.07	15.68	 0.387	70	 2.63	 0.121
113010	J135305.43+155040.3	 0.0102	 9.98	 4.82	 5.12	15.05	 9.17	 0.08	13.78	 0.477	64	 4.35	 0.107
113105	J135705.54+193238.2	 0.0173	 9.14	 2.99	 3.12	 8.42	 8.30	 0.17	15.61	 0.633	52	 1.87	 0.306
113123	J135834.56+063426.6	 0.0173	 9.07	 4.53	 4.95	10.32	 7.87	 0.08	16.27	 0.455	65	 2.17	 0.088
113122	J135845.41+203942.7	 0.0161	 9.89	 3.47	 3.73	 8.19	 8.98	 0.10	15.18	 0.459	65	 3.94	 0.585
113011	J135906.39+175604.9	 0.0176	 9.11	 1.91	 1.86	 5.10	 8.64	 0.07	15.91	 0.511	61	 2.37	 0.200
114141	J140043.65+315339.0	 0.0146	 9.45	 8.27	 9.32	19.67	 7.87	 0.05	14.19	 0.661	50	 1.48	 0.900
114001	J140220.56+322653.4	 0.0145	10.13	 4.58	 4.98	15.71	 9.07	 0.05	14.24	 0.364	72	 4.95	 0.080
114104	J140412.86+083102.0	 0.0161	 9.12	 2.83	 2.85	 7.50	 8.39	 0.07	16.15	 0.530	60	 3.16	 0.060
114039	J140449.46+112343.8	 0.0138	10.18	 3.68	 4.01	13.69	 9.35	 0.05	13.78	 0.813	36	 5.59	 0.025
114044	J140452.67+213800.6	 0.0165	10.02	 3.57	 3.54	 9.86	 9.07	 0.08	14.06	 0.759	42	 2.58	 2.080
114047	J140509.31+102529.5	 0.0179	 9.07	 2.25	 2.25	 6.54	 8.45	 0.06	16.03	 0.484	63	 3.19	 0.057
114075	J140510.39+114616.9	 0.0174	 9.23	 3.42	 3.33	10.52	 8.26	 0.06	15.71	 0.330	75	 3.79	 0.027
114115	J140832.77+030127.4	 0.0175	 9.65	 6.85	 7.46	19.06	 8.07	 0.09	15.00	 0.184	90	 3.09	 0.327
114057	J140859.33+144529.5	 0.0172	10.17	 3.88	 4.05	12.68	 9.11	 0.04	14.29	 0.371	71	     	 0.046
114110	J141057.77+062218.1	 0.0197	10.03	 3.73	 5.24	15.03	 8.88	 0.07	14.95	 0.532	60	     	 0.477
114033	J141212.71+155207.9	 0.0174	 9.91	 4.52	 5.00	11.76	 8.70	 0.04	14.38	 0.709	46	 3.14	 0.533
114058	J141513.81+155239.8	 0.0178	10.16	 4.89	 4.97	13.62	 8.87	 0.05	14.10	 0.720	45	 5.43	 0.062
114127	J141733.87+250652.0	 0.0172	 9.53	 4.18	 4.54	10.74	 8.40	 0.05	15.60	 0.365	72	 3.86	 0.086
114091	J141842.39+245519.8	 0.0150	 9.06	 3.47	 3.71	10.07	 8.21	 0.05	15.52	 0.722	45	 2.92	 0.058
114085	J142118.67+123021.4	 0.0165	 9.31	 2.05	 2.13	 7.67	 8.84	 0.06	15.61	 0.730	44	 2.44	 0.232
114025	J142520.69+254229.2	 0.0154	 9.16	 2.74	 2.82	 7.92	 8.50	 0.05	16.23	 0.639	52	 4.52	 0.029
114096	J142554.78+254604.8	 0.0156	 9.33	 4.95	 5.32	12.36	 8.14	 0.05	15.84	 0.526	60	 4.87	 0.007
114077	J142615.47+252759.5	 0.0165	 9.19	 1.95	 2.00	 5.67	 8.76	 0.06	16.13	 0.660	50	 2.69	 0.152
114076	J142621.41+100948.0	 0.0162	 9.18	 1.84	 2.07	 5.41	 8.82	 0.08	16.15	 0.482	63	 3.04	 0.144
114038	J142714.65+255319.1	 0.0159	 9.83	 5.50	 5.71	14.30	 8.53	 0.05	14.86	 0.822	36	 5.88	 0.007
114065	J142723.43+255240.2	 0.0133	 9.11	 5.01	 4.93	11.12	 8.04	 0.05	16.05	 0.833	34	 3.89	 0.035
114036	J142750.81+255017.0	 0.0147	10.20	 6.41	 6.85	17.52	 8.83	 0.06	13.93	 0.533	60	 5.62	 0.205
114005	J142805.10+254949.6	 0.0152	 9.42	 5.33	 5.58	12.79	 8.19	 0.06	15.62	 0.865	31	 4.83	 0.052
114008	J142812.79+254949.8	 0.0132	 9.61	 2.69	 3.03	 9.31	 9.09	 0.06	14.99	 0.862	31	 5.48	 0.006
114037	J142834.44+272010.9	 0.0135	 9.42	 3.20	 3.24	 7.21	 8.73	 0.06	15.49	 0.644	51	 3.75	 0.031
114144	J142835.76+254231.9	 0.0136	 9.86	10.37	10.82	23.85	 8.15	 0.06	14.50	 0.342	74	 4.57	 0.116
114010	J142846.66+271502.4	 0.0147	 9.71	 2.21	 2.18	 7.30	 9.27	 0.06	14.67	 0.526	60	 3.19	 2.070
114048	J142855.80+254415.4	 0.0159	 9.97	 6.26	 6.70	16.48	 8.56	 0.06	14.42	 0.765	41	 5.83	
122001	J223649.85+142312.9	 0.0175	10.17	 3.46	 3.71	12.99	 9.20	 0.18	14.25	 0.519	61	 4.89	 0.175
122002	J224110.65+132023.6	 0.0173	 9.47	 5.38	 6.43	14.84	 8.11	 0.16	14.81	 0.355	73	 2.24	 0.488
123003	J232028.21+150420.9	 0.0128	 9.57	 2.06	 2.15	 6.98	 9.32	 0.12	14.95	 0.932	22	 4.78	 0.033
123011	J232511.36+151159.5	 0.0143	10.11	 4.16	 4.27	13.95	 9.14	 0.18	13.85	 0.345	73	 5.29	 0.025

